status_id,num_likes,first_page_comment,comments_beyond_pageone
163364503715353_1045621995489595,0,1,0
163364503715353_1045580182160443,110,4,13
163364503715353_1045224192196042,0,1,0
163364503715353_1045203955531399,0,0,0
163364503715353_1045114305540364,0,1,0
163364503715353_1045037112214750,76,5,5
163364503715353_1044723072246154,0,0,0
163364503715353_1044520998933028,0,2,0
163364503715353_1043825575669237,149,6,17
163364503715353_1043372482381213,149,6,14
163364503715353_1043334282385033,0,1,0
163364503715353_1043312909053837,0,0,0
163364503715353_1043174755734319,0,0,0
163364503715353_1042989079086220,0,0,0
163364503715353_1042974532421008,0,1,0
163364503715353_1042937239091404,117,1,6
163364503715353_1042332995818495,58,7,1
163364503715353_1042137095838085,0,1,0
163364503715353_1041923949192733,323,2,19
163364503715353_1041587902559671,127,3,9
163364503715353_1721235061433879,0,0,0
163364503715353_1721234981433887,0,0,0
163364503715353_1041424755909319,0,1,0
163364503715353_1041407985910996,0,5,0
163364503715353_1040787219306406,0,2,0
163364503715353_1040439859341142,0,0,0
163364503715353_1040209002697561,0,1,0
163364503715353_1040187066033088,1,2,0
163364503715353_1040026639382464,0,1,0
163364503715353_1039987772719684,46,3,0
163364503715353_1039963519388776,95,1,35
163364503715353_1039664916085303,0,0,0
163364503715353_1039530406098754,143,7,7
163364503715353_1039463719438756,46,2,5
163364503715353_1039400872778374,47,2,3
163364503715353_1039132099471918,38,4,0
163364503715353_1039007836151011,61,4,4
163364503715353_1038691219516006,54,3,5
163364503715353_1038534022865059,61,4,0
163364503715353_1038533989531729,34,3,0
163364503715353_772183169553262,1,0,0
163364503715353_1038361032882358,1,2,0
163364503715353_1038219656229829,60,4,0
163364503715353_1038191129566015,29,0,0
163364503715353_1038152222903239,43,2,0
163364503715353_1038130939572034,78,4,0
163364503715353_967567619948147,0,0,0
163364503715353_1037347809650347,134,4,4
163364503715353_1037250352993426,0,1,0
163364503715353_1036775329707595,145,5,27
163364503715353_1036498796401915,0,2,0
163364503715353_114234678944365,0,0,0
163364503715353_796029640522972,0,0,0
163364503715353_1036320999753028,51,3,4
163364503715353_1035906929794435,0,1,0
163364503715353_1035888759796252,1,0,0
163364503715353_1035811606470634,41,1,2
163364503715353_1035532863165175,0,1,0
163364503715353_1035521523166309,47,5,3
163364503715353_1035520403166421,0,2,0
163364503715353_124381611260913,0,0,0
163364503715353_1698359737043553,1,2,0
163364503715353_1035368083181653,0,1,0
163364503715353_1034933023225159,0,1,0
163364503715353_1034932999891828,0,0,0
163364503715353_1034932979891830,0,0,0
163364503715353_1034932953225166,0,0,0
163364503715353_1034932909891837,0,0,0
163364503715353_1034932836558511,0,0,0
163364503715353_1034932763225185,0,0,0
163364503715353_1034932659891862,0,0,0
163364503715353_1034932543225207,0,0,0
163364503715353_1034932513225210,0,1,0
163364503715353_1034917346560060,1,1,0
163364503715353_1034915913226870,76,4,13
163364503715353_1034404706611324,0,1,0
163364503715353_840430309407032,0,0,0
163364503715353_1034114829973645,53,2,2
163364503715353_1033738246677970,54,3,3
163364503715353_1033685916683203,0,1,0
163364503715353_1033234440061684,0,1,0
163364503715353_1033183973400064,0,1,0
163364503715353_1033165350068593,0,0,0
163364503715353_1700751406805658,0,0,0
163364503715353_1033053173413144,86,5,2
163364503715353_1032875056764289,0,2,0
163364503715353_1032868583431603,0,1,0
163364503715353_1032764993441962,0,1,0
163364503715353_1032757120109416,58,5,6
163364503715353_1032680666783728,0,1,0
163364503715353_1032381213480340,127,6,15
163364503715353_1032343776817417,58,0,3
163364503715353_780086775436633,0,0,0
163364503715353_1032205236831271,1,0,0
163364503715353_1031863960198732,67,0,0
163364503715353_196127140720682,0,0,0
163364503715353_1031566180228510,1,1,0
163364503715353_1031522056899589,0,1,0
163364503715353_1031112666940528,0,1,0
163364503715353_1664729277106017,0,0,0
163364503715353_183067898703541,0,0,0
163364503715353_1030523603666101,7,0,0
163364503715353_1030238877027907,0,0,0
163364503715353_1487906391513279,1,4,0
163364503715353_1030138743704587,176,2,9
163364503715353_1030063050378823,0,2,0
163364503715353_1030032873715174,0,0,0
163364503715353_1559664034275458,0,0,0
163364503715353_1559663860942142,0,2,0
163364503715353_1029652710419857,0,4,0
163364503715353_1029531310431997,0,2,0
163364503715353_1029521123766349,551,25,32
163364503715353_1029520133766448,124,5,1
163364503715353_1029399680445160,0,6,0
