status_id,num_likes,first_page_comment,comments_beyond_pageone
122366544456362_1352467084779629,0,2,0
122366544456362_1352466788112992,1,1,0
122366544456362_1352458261447178,0,0,0
122366544456362_1352458124780525,0,2,0
122366544456362_1352449571448047,0,0,0
122366544456362_1352448784781459,1,1,0
122366544456362_1352448698114801,0,2,0
122366544456362_1352409344785403,0,0,0
122366544456362_1352406734785664,0,1,0
122366544456362_1352364784789859,0,1,0
122366544456362_1352364478123223,0,1,0
122366544456362_1352363758123295,0,1,0
122366544456362_1352337074792630,1,1,0
122366544456362_1352336308126040,1,0,0
122366544456362_1352310744795263,0,1,0
122366544456362_1352297898129881,1,1,0
122366544456362_1352110284815309,0,1,0
122366544456362_1352052158154455,11339,72,38
122366544456362_1352032011489803,1,1,0
122366544456362_1351976854828652,0,1,0
122366544456362_1351961878163483,2,3,0
122366544456362_1351957214830616,0,1,0
122366544456362_1351928158166855,0,2,0
122366544456362_1351904848169186,1,2,0
122366544456362_1351899531503051,0,1,0
122366544456362_1351885428171128,0,0,0
122366544456362_1351880324838305,0,2,0
122366544456362_1351873114839026,1,1,0
122366544456362_1351677811525223,121313,759,251
122366544456362_815839871860924,1,1,0
122366544456362_1351832248176446,2,2,0
122366544456362_1351806184845719,0,0,0
122366544456362_1351805441512460,0,0,0
122366544456362_1351793101513694,0,0,0
122366544456362_1351790534847284,0,0,0
122366544456362_1351786238181047,1,0,0
122366544456362_1351783128181358,1,0,0
122366544456362_1351782531514751,0,0,0
122366544456362_1351779964848341,0,0,0
122366544456362_1351768631516141,0,0,0
122366544456362_1351702928189378,1,1,0
122366544456362_1351693614856976,2,2,0
122366544456362_1351655708194100,43037,135,107
122366544456362_1351691178190553,2,1,0
122366544456362_1010488632354136,1,2,0
122366544456362_1351657371527267,1,1,0
122366544456362_1351654644860873,18,1,0
122366544456362_1351607001532304,1,2,0
122366544456362_1351605454865792,1,3,0
122366544456362_1351599581533046,0,2,0
122366544456362_1351590558200615,0,1,0
122366544456362_1351590561533948,0,1,0
122366544456362_1351590284867309,0,1,0
122366544456362_1351585051534499,0,0,0
122366544456362_532707283557265,0,0,0
122366544456362_1351532164873121,0,3,0
122366544456362_1351524351540569,0,5,0
122366544456362_1351513354875002,1,2,0
122366544456362_1351302408229430,1,4,0
122366544456362_1351285371564467,0,0,0
122366544456362_1351247418234929,0,1,0
122366544456362_1351171311575873,0,0,0
122366544456362_1351144684911869,0,1,0
122366544456362_1351133781579626,0,1,0
122366544456362_1351120284914309,0,0,0
122366544456362_1351118901581114,0,6,0
122366544456362_1351116054914732,1,2,0
122366544456362_1351114698248201,2,3,0
122366544456362_479228718932469,0,0,0
122366544456362_1351093671583637,0,0,0
122366544456362_1351092351583769,0,3,0
122366544456362_1351056414920696,0,3,0
122366544456362_1351028604923477,0,1,0
122366544456362_1351022858257385,1,4,0
122366544456362_1351016831591321,1,1,0
122366544456362_1350980591594945,0,1,0
122366544456362_1350937544932583,0,0,0
122366544456362_1350900008269670,1,2,0
122366544456362_953442941392114,0,2,0
122366544456362_1350797468279924,0,1,0
122366544456362_1350797414946596,1,1,0
122366544456362_1350134658346205,43217,196,75
122366544456362_1350742668285404,0,8,0
122366544456362_1350733684952969,0,1,0
122366544456362_1350717218287949,1,1,0
122366544456362_1350442518315419,2,3,0
122366544456362_1350425094983828,0,0,0
122366544456362_1350358448323826,0,1,0
122366544456362_1350349444991393,1,1,0
122366544456362_1350323844993953,0,1,0
122366544456362_1350323458327325,1,3,0
122366544456362_1350321231660881,0,3,0
122366544456362_1350319311661073,0,0,0
122366544456362_1350308738328797,0,1,0
122366544456362_1350305298329141,0,2,0
122366544456362_1350304574995880,0,2,0
122366544456362_1350300678329603,3,0,0
122366544456362_1350295181663486,0,1,0
122366544456362_1350295134996824,0,1,0
122366544456362_1350270074999330,1,0,0
122366544456362_1350225738337097,1,2,0
122366544456362_1350156361677368,0,3,0
122366544456362_1350134388346232,19645,117,77
122366544456362_1350133055013032,0,0,0
122366544456362_1350117345014603,0,0,0
122366544456362_1350102908349380,0,1,0
122366544456362_835159279939635,0,0,0
122366544456362_1350076531685351,0,1,0
122366544456362_1350062535020084,0,1,0
122366544456362_1350052638354407,0,2,0
122366544456362_1350051398354531,0,0,0
122366544456362_1350047811688223,0,1,0
122366544456362_1350039621689042,446,33,63
122366544456362_1350018625024475,0,0,0
122366544456362_1349952571697747,0,2,0
122366544456362_1349951935031144,0,2,0
122366544456362_1349881368371534,1,2,0
122366544456362_1349528875073450,0,0,0
122366544456362_1349527941740210,0,1,0
122366544456362_1349518461741158,1,2,0
122366544456362_1349514485074889,0,1,0
122366544456362_1349503848409286,0,0,0
122366544456362_1349473761745628,0,2,0
122366544456362_1349471291745875,0,1,0
122366544456362_1349461308413540,0,2,0
122366544456362_1349461265080211,1,1,0
122366544456362_1349460831746921,0,1,0
122366544456362_1349460398413631,0,1,0
122366544456362_1349456971747307,0,0,0
122366544456362_1349428405083497,0,1,0
122366544456362_1349410721751932,0,0,0
122366544456362_1349403868419284,0,1,0
122366544456362_1349401398419531,0,0,0
122366544456362_1349399328419738,2,0,0
122366544456362_1349388341754170,0,2,0
122366544456362_1349334451759559,1,2,0
122366544456362_1349297298429941,0,2,0
122366544456362_1349286765097661,190,26,10
122366544456362_1349276768431994,0,0,0
122366544456362_1349236301769374,1,1,0
122366544456362_1349192195107118,0,0,0
122366544456362_1349169865109351,2,2,0
122366544456362_1349167871776217,1,1,0
122366544456362_1349165061776498,2,2,0
122366544456362_1349163628443308,0,1,0
122366544456362_1349163488443322,1,2,0
122366544456362_1344081818951489,54104,184,105
122366544456362_1349161828443488,1,1,0
122366544456362_1348846595141678,3,5,0
122366544456362_1348833325143005,1,2,0
122366544456362_1348707065155631,0,0,0
122366544456362_1348681598491511,3,18,0
122366544456362_1348677021825302,0,0,0
122366544456362_1348615385164799,0,1,0
122366544456362_1348609971832007,0,1,0
122366544456362_1348508875175450,0,3,0
122366544456362_1348485625177775,0,4,0
