status_id,num_likes,first_page_comment,comments_beyond_pageone
115332808485663_1043814018970866,701,23,12
115332808485663_1043097269042541,746,16,10
115332808485663_1043086812376920,27988,115,77
115332808485663_1042936115725323,1208,39,12
115332808485663_1042558675763067,37313,141,142
115332808485663_1042560729096195,1003,29,18
115332808485663_1042557172429884,47975,223,171
115332808485663_1041410382544563,749,34,7
115332808485663_1041409732544628,629,19,13
115332808485663_1041274412558160,712,26,7
115332808485663_1040879889264279,549,15,5
115332808485663_1040508295968105,480,13,7
115332808485663_1039180839434184,1109,26,15
115332808485663_1039180352767566,661,20,4
115332808485663_1039179462767655,1495,42,16
115332808485663_1039176296101305,41341,96,143
115332808485663_1038692856149649,609,14,10
115332808485663_1038089056210029,35545,249,142
115332808485663_1038086249543643,564,23,7
115332808485663_1037868656232069,526,19,8
115332808485663_1037696399582628,618,25,12
115332808485663_1037374666281468,704,40,12
115332808485663_1036967656322169,34593,264,130
115332808485663_1036946519657616,600,21,5
115332808485663_1035630926455842,505,43,7
115332808485663_1035633179788950,1243,52,15
115332808485663_1036033019748966,587,14,9
115332808485663_1035627493122852,714,20,4
115332808485663_1035630216455913,1160,29,15
115332808485663_1035631839789084,451,18,9
115332808485663_1035233573162244,16720,125,80
115332808485663_1035216369830631,585,16,12
115332808485663_1034805446538390,508,24,3
115332808485663_1034873656531569,336,26,0
115332808485663_1034803129871955,647,17,8
115332808485663_1034793493206252,287,2,5
115332808485663_1034772366541698,1492,59,117
115332808485663_1034519149900353,11583,145,60
115332808485663_1034326333252968,613,34,5
115332808485663_1033845236634411,523,17,7
115332808485663_1033842113301390,1226,41,12
115332808485663_1033446063340995,33861,100,49
115332808485663_1032324803453121,1012,39,11
115332808485663_1032309203454681,32949,214,93
115332808485663_1032303293455272,967,57,10
115332808485663_1032302233455378,31971,144,49
115332808485663_1032306050121663,789,30,7
115332808485663_1031896956829239,737,24,11
115332808485663_1031887460163522,689,11,11
115332808485663_1031448610207407,22091,97,62
115332808485663_1031447956874139,519,8,5
115332808485663_1031378903547711,452,24,0
115332808485663_1031328446886090,21104,59,42
115332808485663_1031002650252003,790,31,11
115332808485663_1030670633618538,21249,118,39
115332808485663_1030521990300069,838,17,9
115332808485663_1030027977016137,18496,100,30
115332808485663_1029136143771987,813,20,3
115332808485663_1029133933772208,812,24,6
115332808485663_1029133027105632,709,23,9
115332808485663_1029131653772436,18381,57,31
115332808485663_1028623130489955,2122,46,26
115332808485663_1028471137171821,1313,35,5
115332808485663_1028157850536483,13273,32,24
115332808485663_1028008427218092,732,21,13
115332808485663_1027933430558925,17250,87,43
115332808485663_1023299251022343,1689,72,22
115332808485663_1022594547759480,3213,81,38
115332808485663_1022434937775441,16381,92,27
115332808485663_1021622744523327,15945,68,23
115332808485663_1021043744581227,942,23,11
115332808485663_1021039057915029,29528,76,45
115332808485663_1020841281268140,2378,43,55
115332808485663_1020277251324543,2117,82,78
115332808485663_1019936291358639,306,9,1
115332808485663_1019843791367889,8308,112,238
115332808485663_1019360231416245,2055,51,10
115332808485663_1019306131421655,2761,40,26
115332808485663_1019249888093946,22653,113,56
115332808485663_1018074344878167,1333,13,8
115332808485663_1018074078211527,3089,35,46
115332808485663_1017217648297170,70559,229,89
115332808485663_1017216131630655,1673,31,9
115332808485663_1017214521630816,2134,48,22
115332808485663_1017213794964222,11921,53,30
115332808485663_1017213021630966,1272,26,10
115332808485663_1017212288297706,1777,23,23
115332808485663_1017209061631362,10663,36,14
115332808485663_1016945534991048,1492,25,11
115332808485663_1016930654992536,3822,76,47
115332808485663_1016585695027032,11868,71,30
115332808485663_1016423218376613,1196,25,6
115332808485663_1016355868383348,1493,14,18
115332808485663_1016099205075681,69284,172,98
115332808485663_1015922951759973,1298,22,5
115332808485663_1015889715096630,57523,224,145
115332808485663_1015153908503544,1387,24,8
115332808485663_1015048061847462,1024,7,2
115332808485663_1014443158574619,65199,148,56
115332808485663_1014251988593736,1366,13,19
115332808485663_1013835151968753,45004,92,50
115332808485663_1013116205373981,1153,22,11
115332808485663_1013115425374059,1182,11,12
115332808485663_1013114438707491,48026,139,52
115332808485663_1012426805442921,1084,24,7
115332808485663_1012423768776558,1492,25,13
115332808485663_1012422728776662,47008,124,36
115332808485663_1012243322127936,1716,24,12
115332808485663_1012163575469244,1339,25,8
115332808485663_1011644252187843,74594,289,130
115332808485663_1011627412189527,1580,33,9
115332808485663_1011530908865844,1119,17,11
115332808485663_1011491472203121,372,0,0
115332808485663_1011456278873307,24940,125,34
115332808485663_1010783242273944,1400,26,7
115332808485663_1010635162288752,3120,51,50
115332808485663_1009864235699178,1874,46,84
115332808485663_1009036852448583,1732,21,10
115332808485663_1008778079141127,1414,24,10
115332808485663_1008200069198928,20906,92,42
115332808485663_1007882692563999,1764,25,10
115332808485663_1007882342564034,1664,27,19
115332808485663_1007311549287780,20676,106,44
115332808485663_1006747272677541,1985,38,15
115332808485663_1006748722677396,1526,54,20
115332808485663_1006746969344238,23464,123,53
115332808485663_1006227422729526,1131,29,8
115332808485663_1006228099396125,2754,71,29
115332808485663_1006226949396240,20994,123,61
115332808485663_1006072746078327,1213,30,6
115332808485663_1005987552753513,2081,62,29
115332808485663_1005873839431551,39412,165,87
115332808485663_1005456036139998,1529,24,10
115332808485663_1005378659481069,1580,33,8
115332808485663_1004902399528695,24636,98,46
115332808485663_1004900806195521,2005,37,15
115332808485663_1004837599535175,2583,40,27
115332808485663_1004763406209261,1635,19,9
115332808485663_1004416126243989,24730,101,50
115332808485663_1001904953161773,2029,37,14
115332808485663_1004075052944763,43697,141,63
115332808485663_1003782979640637,1900,32,12
115332808485663_1001902663162002,2436,21,25
115332808485663_1003284226357179,37716,128,56
115332808485663_1003050613047207,2310,29,25
115332808485663_1001904173161851,4361,47,43
115332808485663_1003050246380577,34430,68,66
115332808485663_1001901403162128,2490,26,13
115332808485663_1001902009828734,4047,112,34
115332808485663_1001900953162173,40777,151,71
115332808485663_1001758553176413,1697,20,11
115332808485663_1001667856518816,1596,23,10
115332808485663_1001455523206716,41285,217,125
115332808485663_1000904713261797,2282,31,20
115332808485663_1000626536622948,43770,190,81
115332808485663_1000182736667328,46593,199,58
115332808485663_999463586739243,1863,24,11
115332808485663_998943600124575,50233,204,77
115332808485663_998919156793686,2021,37,17
115332808485663_998811593471109,1816,36,15
115332808485663_998404976845104,48895,236,122
115332808485663_997879363564332,1928,37,22
115332808485663_997878846897717,2755,86,27
115332808485663_997878253564443,48223,193,79
115332808485663_997498216935780,2454,54,24
115332808485663_997497350269200,112246,735,372
115332808485663_997496636935938,53119,165,91
115332808485663_997373146948287,1872,34,27
115332808485663_997308996954702,1705,31,25
115332808485663_997222983629970,78593,282,100
115332808485663_996992253653043,1446,36,5
115332808485663_996930860325849,168527,765,472
115332808485663_996644797021122,74032,387,113
115332808485663_996494787036123,2548,49,27
115332808485663_996438270375108,1619,31,11
115332808485663_996224643729804,77522,249,132
115332808485663_996117127073889,97696,603,364
115332808485663_996102190408716,2061,43,32
115332808485663_996038473748421,2988,81,45
115332808485663_995380330480902,31594,187,92
115332808485663_995358280483107,2936,55,35
115332808485663_995289610489974,2810,67,39
115332808485663_994626647222937,39109,165,66
115332808485663_994626383889630,2163,34,22
115332808485663_994056940613241,3805,43,32
115332808485663_994625917223010,1706,31,23
115332808485663_994175417268060,1831,33,24
115332808485663_994055750613360,2141,23,9
115332808485663_994175137268088,33090,200,113
115332808485663_994052293947039,1925,37,27
115332808485663_993992863952982,3352,54,45
115332808485663_993950507290551,33844,196,52
115332808485663_993668910652044,37126,173,58
115332808485663_993621410656794,3258,77,36
115332808485663_993530570665878,53809,279,98
115332808485663_993273844024884,57713,326,135
115332808485663_993216994030569,2589,65,32
115332808485663_992923390726596,46061,189,87
115332808485663_992921540726781,46944,204,126
115332808485663_992895640729371,1105,32,13
115332808485663_992888540730081,3841,93,61
115332808485663_992868910732044,3583,120,34
115332808485663_992846417400960,636,16,11
115332808485663_992845417401060,81421,499,155
115332808485663_992471104105158,8324,159,354
115332808485663_991257987559803,3306,160,62
115332808485663_991257210893214,2648,66,36
115332808485663_991256277559974,205357,1299,563
115332808485663_991633377522264,1203,34,14
115332808485663_991255680893367,2946,90,33
115332808485663_991255374226731,2844,67,44
115332808485663_991426984209570,180277,1331,856
115332808485663_991049977580604,2947,68,60
115332808485663_990952844256984,2011,48,12
115332808485663_990894070929528,39495,413,217
115332808485663_990405027645099,2767,50,21
115332808485663_990236284328640,2978,77,38
115332808485663_989809761037959,35728,365,118
115332808485663_989786714373597,2559,90,33
115332808485663_989736914378577,2729,69,27
115332808485663_989364684415800,66821,303,98
115332808485663_989353611083574,1390,22,12
115332808485663_989290547756547,1268,18,4
115332808485663_988878084464460,69512,353,151
115332808485663_988021514550117,2376,31,39
115332808485663_988810604471208,1496,36,11
115332808485663_988767714475497,460,14,3
115332808485663_988586987826903,31188,871,4280
115332808485663_988020674550201,26987,157,61
115332808485663_988019801216955,1634,29,18
115332808485663_987647724587496,1370,12,14
115332808485663_988018644550404,69473,348,160
115332808485663_987753547910247,1840,48,11
115332808485663_987642934587975,72374,556,183
115332808485663_987637814588487,1825,31,19
115332808485663_987207594631509,576,32,7
115332808485663_987297537955848,26670,250,87
115332808485663_987190071299928,1235,34,91
115332808485663_987144151304520,2800,28,15
115332808485663_986813978004204,553,15,3
115332808485663_986795894672679,3307,102,107
115332808485663_986749631343972,1054,10,5
115332808485663_986434574708811,2312,51,24
115332808485663_986431808042421,1711,54,28
115332808485663_986374418048160,1576,33,12
115332808485663_986066418078960,44154,332,88
115332808485663_986047951414140,428,14,5
115332808485663_985981051420830,1809,24,30
115332808485663_985348384817430,5520,81,44
115332808485663_985347028150899,36934,357,147
115332808485663_985344084817860,1807,34,16
115332808485663_985342198151382,1740,33,13
115332808485663_985237391495196,2517,62,31
115332808485663_984774841541451,1344,21,10
115332808485663_984772648208337,44484,239,104
115332808485663_984766711542264,2618,40,40
115332808485663_984694108216191,2775,48,25
115332808485663_984324618253140,22978,255,72
115332808485663_984317764920492,1818,54,12
115332808485663_984153021603633,49432,274,110
115332808485663_983768264975442,49306,290,214
115332808485663_983656298319972,1839,63,17
115332808485663_983248361694099,1582,44,1
